name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Chlorogloeopsis	1123	genus	0	1167	0	0.0
Chlorogloeopsis fritschii	1124	species	0	2	0	0.0
Microcystis	1125	genus	0	1	0	0.0
Microcystis aeruginosa	1126	species	5501105	14	3	0.0
Synechococcus	1129	genus	0	1	1	0.0
Synechococcus elongatus PCC 7942 = FACHB-805	1140	strain	5492383	2	0	0.0
Synechocystis sp. PCC 6714	1147	species	3738889	3	1	0.0
Synechocystis sp. PCC 6803	1148	species	22554097	2	0	0.0
Planktothrix agardhii	1160	species	29624833	49	6	0.0
Nostocales	1161	order	0	88	0	0.0
Nostocaceae	1162	family	0	1	0	0.0
Anabaena	1163	genus	0	1	0	0.0
Nostoc	1177	genus	0	1	0	0.0
Calothrix	1186	genus	0	1	0	0.0
Tolypothrix sp. PCC 7601	1188	species	10128441	16	11	0.0
Prochlorococcus marinus	1219	species	0	3	0	0.0
Pseudomonadota	1224	phylum	0	61	0	0.0
Nitrosospira multiformis	1231	species	0	1	0	0.0
Gammaproteobacteria	1236	class	0	1627	0	0.0
Piscirickettsia salmonis	1238	species	272561305	72	33	0.0
Bacillota	1239	phylum	0	44	0	0.0
Leuconostoc mesenteroides	1245	species	47159538	56	7	0.0
Leuconostoc lactis	1246	species	10630957	36	25	0.0
Oenococcus oeni	1247	species	15011706	25	7	0.0
Weissella paramesenteroides	1249	species	8013100	12	5	0.0
Leuconostoc carnosum	1252	species	8945545	22	4	0.0
Pediococcus acidilactici	1254	species	77408517	28	6	0.0
Pediococcus pentosaceus	1255	species	60692842	35	15	0.0
Finegoldia magna	1260	species	9576217	31	21	0.0
Micrococcus luteus	1270	species	40252121	4	2	0.0
Kocuria varians	1272	species	2823038	3	2	0.0
Micrococcus lylae	1273	species	2685567	1	0	0.0
Kocuria rosea	1275	species	19675626	19	2	0.0
Kytococcus sedentarius	1276	species	7830941	4	2	0.0
Staphylococcus	1279	genus	0	14	2	0.0
Staphylococcus aureus	1280	species	3670157625	307	120	0.0
Staphylococcus carnosus	1281	species	34028380	46	9	0.0
Staphylococcus epidermidis	1282	species	400872113	181	46	0.0
Staphylococcus haemolyticus	1283	species	83302765	4570	3891	0.0
Staphylococcus hyicus	1284	species	36147334	31	13	0.0
Staphylococcus simulans	1286	species	54830457	25	10	0.0
Staphylococcus xylosus	1288	species	37368231	79	8	0.0
Staphylococcus hominis	1290	species	30046949	56	11	0.0
Staphylococcus warneri	1292	species	38081677	46	8	0.0
Staphylococcus gallinarum	1293	species	2942339	13	11	0.0
Staphylococcus muscae	1294	species	4190247	6	0	0.0
Staphylococcus schleiferi	1295	species	12691299	43	0	0.0
Mammaliicoccus sciuri	1296	species	119896920	116	41	0.0
Deinococcus	1298	genus	0	1	0	0.0
Streptococcaceae	1300	family	0	6	0	0.0
Streptococcus	1301	genus	0	8	1	0.0
Streptococcus gordonii	1302	species	26304972	43	7	0.0
Streptococcus oralis	1303	species	29491162	48	14	0.0
Streptococcus salivarius	1304	species	40059766	48	13	0.0
Streptococcus sanguinis	1305	species	14139475	34	9	0.0
Streptococcus suis	1307	species	284508422	86	37	0.0
Streptococcus thermophilus	1308	species	226386692	38	8	0.0
Streptococcus mutans	1309	species	44947923	34	9	0.0
